Name,Author,User Rating,Reviews,Price,Year,Genre
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction
Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction
Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction
Gone Girl,Gillian Flynn,4.0,57271,10,2012,Fiction
Gone Girl,Gillian Flynn,4.0,57271,10,2013,Fiction
The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction
